epoch,accuracy,dice_coef,iou,loss,precision,recall,val_accuracy,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.7848387956619263,0.22166059911251068,0.12504766881465912,0.645566463470459,0.010356731712818146,0.0003438324201852083,0.7860107421875,0.23877637088298798,0.1355908364057541,0.624151349067688,0.007194244768470526,5.3518961067311466e-06
1,0.7908897399902344,0.2335333228111267,0.13247177004814148,0.5633516907691956,0.04729309305548668,0.00018146711227018386,0.786159873008728,0.3155941367149353,0.18738456070423126,0.44966012239456177,0.0,0.0
2,0.7916130423545837,0.31267663836479187,0.1854156255722046,0.4467131197452545,0.0,0.0,0.7861675024032593,0.31304699182510376,0.18559065461158752,0.43683353066444397,0.0,0.0
3,0.7916136980056763,0.29838070273399353,0.17548465728759766,0.42987990379333496,0.0,0.0,0.7861675024032593,0.31308674812316895,0.18561816215515137,0.4308317303657532,0.0,0.0
4,0.7916136980056763,0.30271482467651367,0.17838411033153534,0.4264894127845764,0.0,0.0,0.7861675024032593,0.3120421767234802,0.18488016724586487,0.42955881357192993,0.0,0.0
5,0.7916136980056763,0.3104047477245331,0.18377389013767242,0.42391395568847656,0.0,0.0,0.7861675024032593,0.32268235087394714,0.19239765405654907,0.4290681481361389,0.0,0.0
6,0.7916136980056763,0.3079618513584137,0.18208540976047516,0.42233410477638245,0.0,0.0,0.7861675024032593,0.3112853765487671,0.18434906005859375,0.42695409059524536,0.0,0.0
7,0.7916136980056763,0.31281936168670654,0.18547354638576508,0.4241541624069214,0.0,0.0,0.7861675024032593,0.30402064323425293,0.1792769730091095,0.4298592209815979,0.0,0.0
8,0.7916136980056763,0.30942031741142273,0.18313884735107422,0.42391636967658997,0.0,0.0,0.7861675024032593,0.30581051111221313,0.1805277019739151,0.42826223373413086,0.0,0.0
9,0.7916136980056763,0.3052597939968109,0.1802244633436203,0.4217965006828308,0.0,0.0,0.7861675024032593,0.32504981756210327,0.19408947229385376,0.42765504121780396,0.0,0.0
10,0.7916136980056763,0.3089137375354767,0.1827927827835083,0.4237826466560364,0.0,0.0,0.7861675024032593,0.3120449483394623,0.18488900363445282,0.43045467138290405,0.0,0.0
11,0.7916136980056763,0.31392037868499756,0.18624508380889893,0.4230138063430786,0.0,0.0,0.7861675024032593,0.31593459844589233,0.1876228153705597,0.4260531961917877,0.0,0.0
12,0.7916136980056763,0.30748099088668823,0.18182384967803955,0.42056190967559814,0.0,0.0,0.7861675024032593,0.3276227116584778,0.19592730700969696,0.42560261487960815,0.0,0.0
13,0.7916136980056763,0.31365397572517395,0.18609267473220825,0.4202798306941986,0.0,0.0,0.7861675024032593,0.30805012583732605,0.18209299445152283,0.42584428191185,0.0,0.0
14,0.7916136980056763,0.311901330947876,0.18483519554138184,0.4194773733615875,0.0,0.0,0.7861675024032593,0.32076504826545715,0.19104847311973572,0.42505916953086853,0.0,0.0
15,0.7916136980056763,0.31448665261268616,0.1866164207458496,0.4193146824836731,0.0,0.0,0.7861675024032593,0.3201225697994232,0.1905888468027115,0.4251541197299957,0.0,0.0
16,0.7916136980056763,0.3123321235179901,0.18526263535022736,0.4211345613002777,0.0,0.0,0.7861675024032593,0.33612507581710815,0.20204219222068787,0.42688626050949097,0.0,0.0
17,0.7916136980056763,0.31206750869750977,0.18492786586284637,0.42144298553466797,0.0,0.0,0.7861675024032593,0.3144589066505432,0.1865844875574112,0.4241369664669037,0.0,0.0
18,0.7916136980056763,0.31290629506111145,0.18554700911045074,0.4195363521575928,0.0,0.0,0.7861675024032593,0.30851539969444275,0.18240736424922943,0.4243225157260895,0.0,0.0
19,0.7916136980056763,0.30879703164100647,0.18278540670871735,0.4183954894542694,0.0,0.0,0.7861675024032593,0.3220996856689453,0.19198724627494812,0.42339664697647095,0.0,0.0
20,0.7916136980056763,0.3149794042110443,0.18697740137577057,0.41754835844039917,0.0,0.0,0.7861675024032593,0.30818670988082886,0.1821843683719635,0.42494773864746094,0.0,0.0
21,0.7916138768196106,0.31489163637161255,0.18697015941143036,0.4148811995983124,1.0,7.95908420059277e-07,0.7861694097518921,0.3329325020313263,0.19973869621753693,0.4216017723083496,1.0,8.91982654138701e-06
22,0.7916901707649231,0.3199061453342438,0.19055519998073578,0.4140200912952423,1.0,0.00036691376590169966,0.7861679196357727,0.2783915400505066,0.16173824667930603,0.4335289001464844,1.0,1.7839653310147696e-06
23,0.7917316555976868,0.30863848328590393,0.1828976273536682,0.41857123374938965,1.0,0.0005658908630721271,0.7861827611923218,0.3182319104671478,0.18926194310188293,0.42361125349998474,1.0,7.135861233109608e-05
24,0.7925295829772949,0.32558679580688477,0.19461064040660858,0.41283467411994934,1.0,0.004395006224513054,0.7862476110458374,0.3034147620201111,0.17885920405387878,0.42684125900268555,1.0,0.00037463271291926503
25,0.7925910949707031,0.31492090225219727,0.1870562583208084,0.413220077753067,0.9998303651809692,0.004691083915531635,0.7851963043212891,0.3438923954963684,0.20772075653076172,0.42175960540771484,0.4755342900753021,0.04414065554738045
26,0.7964528799057007,0.32493194937705994,0.19429077208042145,0.4110668897628784,0.9022305607795715,0.026044510304927826,0.786578357219696,0.28771430253982544,0.16812431812286377,0.4275996685028076,1.0,0.001921330695040524
27,0.8020676374435425,0.3240649104118347,0.19409239292144775,0.4088231921195984,0.9208396673202515,0.054884251207113266,0.7914329767227173,0.3463912904262543,0.20951369404792786,0.41910630464553833,0.6516779661178589,0.052898142486810684
