epoch,accuracy,dice_coef,iou,loss,precision,recall,val_accuracy,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.6502346992492676,0.6744721531867981,0.5096086263656616,0.7780669331550598,0.9059552550315857,0.6149178147315979,0.7953300476074219,0.6808432340621948,0.5161888599395752,0.5870333909988403,0.7990817427635193,0.9909270405769348
1,0.781873345375061,0.7328976988792419,0.5784586668014526,0.5437601804733276,0.9466407895088196,0.7630506753921509,0.7899765968322754,0.6597124934196472,0.4922463893890381,0.621047854423523,0.7948775887489319,0.9906635284423828
2,0.8041915893554688,0.7572924494743347,0.6094695925712585,0.4908030927181244,0.9463300704956055,0.7936983704566956,0.73345947265625,0.6534041166305542,0.4852268099784851,0.6453837752342224,0.7884384393692017,0.9071176648139954
3,0.8213072419166565,0.7732317447662354,0.6304258108139038,0.4566143751144409,0.9436841607093811,0.8195608258247375,0.7875251770019531,0.688071072101593,0.5244824886322021,0.5891410112380981,0.7917203307151794,0.9932107329368591
4,0.8302944302558899,0.7871367931365967,0.6490008234977722,0.43032360076904297,0.9414966702461243,0.834011435508728,0.7889962196350098,0.709494411945343,0.549788773059845,0.5661220550537109,0.7918446660041809,0.9954614043235779
5,0.8401597142219543,0.7983154058456421,0.6643794775009155,0.4060034155845642,0.9348629117012024,0.8543782234191895,0.7925753593444824,0.7347297668457031,0.5807000398635864,0.5370460748672485,0.7925897240638733,0.9999771118164062
6,0.8445663452148438,0.8126603960990906,0.6844531297683716,0.3835119903087616,0.9330122470855713,0.8624244928359985,0.7925934791564941,0.7557775974273682,0.6074422597885132,0.5158560276031494,0.7925934791564941,1.0
7,0.8516291379928589,0.8230708241462708,0.6993551254272461,0.3630351722240448,0.9267141819000244,0.8790892362594604,0.7925934791564941,0.7765575051307678,0.6347476243972778,0.4984026551246643,0.7925934791564941,1.0
8,0.8560101985931396,0.83404940366745,0.7153419256210327,0.34519505500793457,0.924666166305542,0.8874983787536621,0.7925934791564941,0.7920149564743042,0.6556684970855713,0.48707565665245056,0.7925934791564941,1.0
9,0.859337329864502,0.8433070182800293,0.7291163206100464,0.32956311106681824,0.9238443374633789,0.8930827975273132,0.7925934791564941,0.8053054809570312,0.6740893721580505,0.4769541621208191,0.7925934791564941,1.0
10,0.8604747653007507,0.8492956161499023,0.7381800413131714,0.320747047662735,0.920741081237793,0.8982452750205994,0.7925934791564941,0.8142862319946289,0.6867706775665283,0.4674674868583679,0.7925934791564941,1.0
11,0.8634989261627197,0.8608423471450806,0.7557029724121094,0.3090592920780182,0.920753002166748,0.9024783372879028,0.7925934791564941,0.8238673210144043,0.700513482093811,0.45961320400238037,0.7925934791564941,1.0
12,0.8713053464889526,0.8645923733711243,0.7615479826927185,0.3037768304347992,0.9039018750190735,0.9341360330581665,0.7925934791564941,0.8335046768188477,0.7145650386810303,0.4547803997993469,0.7925934791564941,1.0
13,0.8685352206230164,0.8687232136726379,0.768009603023529,0.29705581068992615,0.9172720909118652,0.9136713743209839,0.7925930023193359,0.8401110172271729,0.7243337631225586,0.44999581575393677,0.7925933599472046,0.9999994039535522
14,0.870038628578186,0.8757838010787964,0.779052734375,0.2903140187263489,0.9155020713806152,0.917918860912323,0.7925872802734375,0.8463406562805176,0.7336475849151611,0.4467981159687042,0.792592465877533,0.9999915957450867
15,0.873965322971344,0.8793538808822632,0.7846866250038147,0.28430604934692383,0.912630558013916,0.9269809126853943,0.7925891876220703,0.8517851829528809,0.7418713569641113,0.4441869854927063,0.7925939559936523,0.9999915957450867
16,0.8752726316452026,0.8805980682373047,0.786693274974823,0.2814830243587494,0.9162207245826721,0.9244470000267029,0.7925930023193359,0.8579211235046387,0.7512316703796387,0.45989489555358887,0.7925936579704285,0.9999988079071045
17,0.8776841759681702,0.8836765289306641,0.791643500328064,0.27768343687057495,0.9131305813789368,0.9316411018371582,0.7925930023193359,0.862990140914917,0.7590392827987671,0.4649157226085663,0.7925939559936523,0.9999982118606567
18,0.8794838190078735,0.8855026364326477,0.7945436239242554,0.2747294008731842,0.9135972857475281,0.9336165189743042,0.7925925254821777,0.8662849068641663,0.7641503214836121,0.47491323947906494,0.7925941348075867,0.9999970197677612
19,0.8796018958091736,0.8882420659065247,0.7989757657051086,0.2732658088207245,0.9152522683143616,0.9317470788955688,0.7925930023193359,0.8687095642089844,0.767930269241333,0.4726352095603943,0.7926009297370911,0.9999831318855286
20,0.8782151341438293,0.8868276476860046,0.7967013120651245,0.27478453516960144,0.9056655764579773,0.9417892098426819,0.7926487922668457,0.8714152574539185,0.7721664309501648,0.4621050953865051,0.7926713824272156,0.9999266266822815
21,0.8757988214492798,0.8855980038642883,0.7947624325752258,0.27630987763404846,0.9150893688201904,0.9265664219856262,0.7927379608154297,0.8716856837272644,0.7725907564163208,0.4570866823196411,0.7927557826042175,0.9998971223831177
22,0.8769959807395935,0.8899039030075073,0.8016731142997742,0.2757377028465271,0.9218542575836182,0.9201266765594482,0.7925972938537598,0.8701683282852173,0.7702133655548096,0.4470284879207611,0.7925973534584045,0.9999982118606567
23,0.8784002661705017,0.8878667950630188,0.7983583211898804,0.27227282524108887,0.9058010578155518,0.9418807625770569,0.7926812171936035,0.8747988939285278,0.7774962186813354,0.45099249482154846,0.7926733493804932,0.9999777674674988
24,0.8804576992988586,0.8899492025375366,0.8017430305480957,0.26967787742614746,0.9046260118484497,0.9463425278663635,0.7938356399536133,0.8761541843414307,0.7796366810798645,0.4339118003845215,0.7936972975730896,0.9997467398643494
25,0.8768321871757507,0.8909730911254883,0.8034189939498901,0.27386459708213806,0.9215083718299866,0.920306384563446,0.7937731742858887,0.8708218336105347,0.7712351679801941,0.4027591943740845,0.7935870885848999,0.9998766779899597
26,0.87965327501297,0.892372727394104,0.805694580078125,0.27056145668029785,0.9148448705673218,0.9323196411132812,0.795860767364502,0.8732087016105652,0.7749831676483154,0.39954179525375366,0.7954932451248169,0.999358057975769
27,0.8826998472213745,0.890960693359375,0.8033771514892578,0.26591920852661133,0.9021727442741394,0.9527609944343567,0.8011770248413086,0.8734108209609985,0.7752997875213623,0.3783436417579651,0.8003814220428467,0.9980724453926086
28,0.883200466632843,0.894516110420227,0.8091722726821899,0.2623073160648346,0.9233511686325073,0.9270462393760681,0.8005423545837402,0.8735007047653198,0.7754421830177307,0.37384480237960815,0.799718976020813,0.9983822703361511
29,0.8839017152786255,0.8906596899032593,0.8029723167419434,0.26184433698654175,0.9110405445098877,0.9430785775184631,0.8053345680236816,0.8762636184692383,0.7798044681549072,0.3716281056404114,0.8049132823944092,0.9957291483879089
30,0.8848394751548767,0.8947173357009888,0.8095056414604187,0.2588847875595093,0.9184841513633728,0.9351930618286133,0.802922248840332,0.8759967088699341,0.7793854475021362,0.36813199520111084,0.8020921349525452,0.9974647760391235
31,0.8828253149986267,0.8926290273666382,0.80615234375,0.26140424609184265,0.9235852360725403,0.9262439012527466,0.798220157623291,0.8763548135757446,0.7799520492553711,0.38494107127189636,0.7975526452064514,0.9990001320838928
32,0.8877260684967041,0.8970304727554321,0.8132947683334351,0.2552133798599243,0.9146153330802917,0.9440298676490784,0.7996068000793457,0.8784197568893433,0.783227801322937,0.3769225776195526,0.7990222573280334,0.9982595443725586
33,0.8881918787956238,0.8977290987968445,0.8144583702087402,0.25491467118263245,0.9250134825706482,0.932054340839386,0.7975754737854004,0.8771449327468872,0.7812025547027588,0.3788820505142212,0.7970026135444641,0.9990686774253845
34,0.8870441317558289,0.8987442851066589,0.8161317706108093,0.2531740963459015,0.9190375208854675,0.9376237988471985,0.8004474639892578,0.8777610063552856,0.7821781635284424,0.3697657883167267,0.7995805144309998,0.998511016368866
35,0.8896067142486572,0.8995894193649292,0.8175257444381714,0.25062018632888794,0.9128069281578064,0.9489593505859375,0.8046684265136719,0.8787908554077148,0.7838137149810791,0.36127370595932007,0.8037408590316772,0.9970045685768127
36,0.8877675533294678,0.8997365832328796,0.8177551031112671,0.25168877840042114,0.920307457447052,0.937099039554596,0.8003530502319336,0.8798741102218628,0.7855408191680908,0.3747997283935547,0.7996096014976501,0.9982914328575134
37,0.8885051608085632,0.9005686640739441,0.8191479444503784,0.24965398013591766,0.922267496585846,0.9357696175575256,0.8031525611877441,0.880652904510498,0.7867820262908936,0.36492282152175903,0.8020732402801514,0.997889518737793
38,0.8889173865318298,0.8995402455329895,0.8174349665641785,0.25135087966918945,0.9111876487731934,0.9500260949134827,0.8030838966369629,0.88261479139328,0.7899187803268433,0.37198811769485474,0.8024250864982605,0.9970508813858032
39,0.8867465853691101,0.8996180295944214,0.8175795674324036,0.252239465713501,0.9260099530220032,0.9288598299026489,0.798093318939209,0.8811806440353394,0.7876297235488892,0.3832917809486389,0.7973673939704895,0.9991757869720459
