epoch,accuracy,dice_coef,iou,loss,precision,recall,val_accuracy,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.9018089771270752,0.1270926147699356,0.068846695125103,0.3509804904460907,0.02866372838616371,0.0017021564999595284,0.9048097729682922,0.13695958256721497,0.07383570820093155,0.26961398124694824,0.0,0.0
1,0.9070143699645996,0.18811596930027008,0.10478349030017853,0.25601720809936523,0.0,0.0,0.9048097729682922,0.19897183775901794,0.11169203370809555,0.3258240222930908,0.0,0.0
2,0.9070142507553101,0.1980186402797699,0.11075615882873535,0.2507566809654236,0.0,0.0,0.9048097729682922,0.21910510957241058,0.12412471324205399,0.24940535426139832,0.0,0.0
3,0.9070249199867249,0.2151145040988922,0.12202196568250656,0.2424630969762802,0.6496198773384094,0.00024907023180276155,0.9048041105270386,0.22402440011501312,0.12756720185279846,0.23960819840431213,0.36684781312942505,8.381589577766135e-05
4,0.9067649841308594,0.21735472977161407,0.1238378956913948,0.2436089813709259,0.46826547384262085,0.01977379061281681,0.9048097729682922,0.19612185657024384,0.10979026556015015,0.2459302693605423,0.0,0.0
5,0.910171627998352,0.24202944338321686,0.14027933776378632,0.2355639785528183,0.5956602096557617,0.10571493953466415,0.9047497510910034,0.17543011903762817,0.09713286906480789,0.25710752606391907,0.11162079870700836,9.064534242497757e-05
6,0.9129636287689209,0.24803043901920319,0.143584206700325,0.2341681271791458,0.6736739277839661,0.12409208714962006,0.9148580431938171,0.25549808144569397,0.14898057281970978,0.23337435722351074,0.6601154208183289,0.21760034561157227
7,0.917235255241394,0.27297425270080566,0.16187141835689545,0.22652561962604523,0.6551281809806824,0.23210324347019196,0.9099555015563965,0.22434449195861816,0.12789267301559448,0.23847605288028717,0.9612812995910645,0.056323662400245667
8,0.9159290790557861,0.2602050304412842,0.15306410193443298,0.2329408824443817,0.6524538993835449,0.20515277981758118,0.9095558524131775,0.2043856531381607,0.1155238151550293,0.24104756116867065,0.9640359878540039,0.051791392266750336
9,0.9125160574913025,0.2590065896511078,0.1518370658159256,0.22813020646572113,0.6182535886764526,0.15467101335525513,0.9177311658859253,0.2638431191444397,0.15403592586517334,0.23060353100299835,0.8566134572029114,0.1630299836397171
10,0.9193322062492371,0.29605570435523987,0.1773788034915924,0.21878582239151,0.6950711011886597,0.23600994050502777,0.9171146750450134,0.3500242829322815,0.21784819662570953,0.22253704071044922,0.6003638505935669,0.38662970066070557
11,0.9189165234565735,0.30733612179756165,0.18861785531044006,0.21732324361801147,0.6660294532775879,0.25673866271972656,0.9048115611076355,0.1949063241481781,0.10907207429409027,0.2523536682128906,1.0,1.8004895537160337e-05
12,0.9121219515800476,0.24477535486221313,0.14163848757743835,0.23015367984771729,0.7615388035774231,0.07997433096170425,0.9162262678146362,0.264091432094574,0.1551223248243332,0.23251160979270935,0.8861401081085205,0.13761451840400696
13,0.9229300618171692,0.3152272403240204,0.19140657782554626,0.21131795644760132,0.6871181726455688,0.3142707049846649,0.9217378497123718,0.2818423807621002,0.16698764264583588,0.2216053158044815,0.7856543064117432,0.24455492198467255
14,0.9213202595710754,0.30839958786964417,0.18684418499469757,0.2148718386888504,0.6994356513023376,0.26978519558906555,0.9112365245819092,0.22163726389408112,0.1268078237771988,0.23339876532554626,0.9340171813964844,0.07264602929353714
15,0.9213348031044006,0.3094213008880615,0.1889273226261139,0.21624994277954102,0.7081794142723083,0.2619503438472748,0.9257594347000122,0.33922794461250305,0.20962098240852356,0.21070973575115204,0.753412127494812,0.3271595239639282
16,0.9286819100379944,0.3634815514087677,0.23007217049598694,0.19907246530056,0.7446208000183105,0.35465532541275024,0.9211064577102661,0.28471142053604126,0.16974729299545288,0.2152678519487381,0.9199258089065552,0.18752533197402954
17,0.9230258464813232,0.33253198862075806,0.20551009476184845,0.20519746840000153,0.7210966348648071,0.28080523014068604,0.9262613654136658,0.3725619912147522,0.23553532361984253,0.20811469852924347,0.7116986513137817,0.37880438566207886
18,0.9314433932304382,0.3826763331890106,0.24429084360599518,0.194416806101799,0.7603157758712769,0.3836674988269806,0.9288561344146729,0.3750832676887512,0.2400488704442978,0.21572086215019226,0.8206660747528076,0.32325369119644165
