epoch,accuracy,dice_coef,iou,loss,precision,recall,val_accuracy,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.7684844732284546,0.7248066067695618,0.5757610201835632,0.6529637575149536,0.7809534668922424,0.9768476486206055,0.7916045188903809,0.731555700302124,0.5767636299133301,0.5293190479278564,0.792547881603241,0.9984081387519836
1,0.7784367799758911,0.7278052568435669,0.5722259879112244,0.5361844301223755,0.7791256904602051,0.998770534992218,0.7919025421142578,0.7682372331619263,0.6237286329269409,0.48894253373146057,0.7925673127174377,0.9988755583763123
2,0.7785808444023132,0.7895987629890442,0.6528100967407227,0.4882926344871521,0.7791335582733154,0.999010443687439,0.7922163009643555,0.8361044526100159,0.7184209227561951,0.4714275896549225,0.7926056385040283,0.9993292093276978
3,0.7787619233131409,0.8138716816902161,0.6864829659461975,0.4816274642944336,0.7791541814804077,0.999287486076355,0.7921905517578125,0.8086127042770386,0.6787635087966919,0.44825953245162964,0.7926028370857239,0.9992913007736206
4,0.7789178490638733,0.8033851385116577,0.6715235710144043,0.4588314890861511,0.7791702151298523,0.9995299577713013,0.792604923248291,0.8253442049026489,0.7026781439781189,0.43081992864608765,0.7926329970359802,0.9999344348907471
5,0.7791992425918579,0.813160240650177,0.6854124069213867,0.4388570785522461,0.7792376279830933,0.9998790621757507,0.7925834655761719,0.8476589322090149,0.7356488704681396,0.4166474938392639,0.7926343679428101,0.9998947381973267
6,0.7835127711296082,0.8269903063774109,0.705379843711853,0.41677364706993103,0.7836993336677551,0.9974359273910522,0.7957139015197754,0.8550186157226562,0.7468024492263794,0.3790851831436157,0.7960731387138367,0.9978787302970886
7,0.8055159449577332,0.8385613560676575,0.7222861647605896,0.3798067569732666,0.810052216053009,0.9802391529083252,0.8477110862731934,0.8501646518707275,0.7394297122955322,0.3330851197242737,0.8691164255142212,0.951088011264801
8,0.8118907809257507,0.8486465215682983,0.7397259473800659,0.3842307925224304,0.8497108817100525,0.9215644001960754,0.8284478187561035,0.8753925561904907,0.7784403562545776,0.3474012613296509,0.8343586921691895,0.9776427149772644
9,0.8253936767578125,0.8337032198905945,0.715964674949646,0.37474218010902405,0.8744668960571289,0.9059496521949768,0.8317446708679199,0.8759878277778625,0.7793813347816467,0.34184253215789795,0.8351002931594849,0.981529176235199
