epoch,accuracy,loss,val_accuracy,val_loss
0,0.7136524319648743,0.5669959783554077,0.7720069885253906,0.4722631275653839
1,0.7827417850494385,0.47018784284591675,0.7720112800598145,0.4745650887489319
2,0.7827749848365784,0.45222726464271545,0.7777695655822754,0.47300928831100464
3,0.7839270234107971,0.44720393419265747,0.772061824798584,0.443770170211792
4,0.7841029167175293,0.4277377128601074,0.7759866714477539,0.4216262698173523
5,0.7935189604759216,0.400648832321167,0.8162765502929688,0.3821081519126892
6,0.8212477564811707,0.3681899905204773,0.8251352310180664,0.3593282699584961
7,0.8311289548873901,0.35475248098373413,0.8478131294250488,0.33730548620224
8,0.8540465235710144,0.32189470529556274,0.8492279052734375,0.328993558883667
9,0.8621022701263428,0.30695033073425293,0.8567967414855957,0.31591087579727173
